Symbol,Security Name,MIC Type,Instrument Class,Market Tier,Financial Status,Round Lot Size
SATLW,Satellogic Inc. - Warrant,stock,Warrant,Nasdaq Capital Market,N,100
SBAC,SBA Communications Corporation - Class A Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
SBC,SBC Medical Group Holdings Incorporated - Common Stock,stock,Common Stock,Nasdaq Global Market,D,100
SBCF,Seacoast Banking Corporation of Florida - Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
SBCWW,SBC Medical Group Holdings Incorporated - Warrants,stock,Warrant,Nasdaq Capital Market,D,100
SBET,"Sharplink, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
SBFG,"SB Financial Group, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
SBFM,Sunshine Biopharma Inc. - Common stock,stock,Common Stock,Nasdaq Capital Market,N,100
SBFMW,Sunshine Biopharma Inc. - Warrant,stock,Warrant,Nasdaq Capital Market,N,100
SBGI,"Sinclair, Inc. - Class A Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
SBLK,Star Bulk Carriers Corp. - Common Shares,stock,Common Stock,Nasdaq Global Select Market,N,100
SBRA,"Sabra Health Care REIT, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
SBUX,Starbucks Corporation - Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
SCA,GraniteShares Autocallable SMCI ETF,etf,ETF,Nasdaq Global Market,N,100
SCAG,Scage Future - American Depositary Shares,stock,Depositary Share,Nasdaq Global Market,D,100
SCAGW,Scage Future - Warrants,stock,Warrant,Nasdaq Capital Market,N,100
SCDS,JPMorgan Fundamental Data Science Small Core ETF,etf,ETF,Nasdaq Global Market,N,100
SCHL,Scholastic Corporation - Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
SCII,SC II Acquisition Corp. - Class A ordinary share,stock,Ordinary Share,Nasdaq Global Market,N,100
SCIIR,SC II Acquisition Corp. - Rights,stock,Right,Nasdaq Global Market,N,100
SCIIU,SC II Acquisition Corp. - Units,stock,Unit,Nasdaq Global Market,N,100
SCKT,"Socket Mobile, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,D,100
SCLX,Scilex Holding Company - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
SCLXW,Scilex Holding Company - Warrant,stock,Warrant,Nasdaq Capital Market,N,100
SCNI,Scinai Immunotherapeutics Ltd. - American Depositary Shares,stock,Depositary Share,Nasdaq Capital Market,D,100
SCNX,"Scienture Holdings, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,D,100
SCOR,"comScore, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,stock,Ordinary Share,Nasdaq Global Market,N,100
SCPQU,Social Commerce Partners Corporation - Unit,stock,Unit,Nasdaq Global Market,N,100
SCPQW,Social Commerce Partners Corporation - Warrant,stock,Warrant,Nasdaq Global Market,N,100
SCSC,"ScanSource, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
SCTX,Scribe Therapeutics Inc. - Common Stock,stock,Common Stock,Nasdaq Global Market,N,100
SCWO,374Water Inc. - common stock,stock,Common Stock,Nasdaq Capital Market,N,100
SCYX,"SCYNEXIS, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
SCZ,iShares MSCI EAFE Small-Cap ETF,etf,ETF,Nasdaq Global Market,N,100
SCZM,Santacruz Silver Mining Ltd. - Common Shares,stock,Common Stock,Nasdaq Capital Market,N,100
SDA,SunCar Technology Group Inc. - Ordinary Shares,stock,Ordinary Share,Nasdaq Capital Market,D,100
SDAWW,SunCar Technology Group Inc. - Warrant,stock,Warrant,Nasdaq Capital Market,N,100
SDG,iShares MSCI Global Sustainable Development Goals ETF,etf,ETF,Nasdaq Global Market,N,100
SDGR,"Schrodinger, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
SDHI,Siddhi Acquisition Corp - Class A Common stock,stock,Common Stock,Nasdaq Global Market,N,100
SDHIR,Siddhi Acquisition Corp - Right,stock,Right,Nasdaq Global Market,N,100
SDHIU,Siddhi Acquisition Corp - Unit,stock,Unit,Nasdaq Global Market,N,100
SDOT,Sadot Group Inc. - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
SDSI,American Century Short Duration Strategic Income ETF,etf,ETF,Nasdaq Global Market,N,100
SDST,Stardust Power Inc. - Common Stock,stock,Common Stock,Nasdaq Capital Market,D,100
SDSTW,Stardust Power Inc. - Warrant,stock,Warrant,Nasdaq Capital Market,D,100
SDTY,YieldMax S&P 500 0DTE Covered Call Strategy ETF,etf,ETF,Nasdaq Global Market,N,100
SDVY,First Trust SMID Cap Rising Dividend Achievers ETF,etf,ETF,Nasdaq Global Market,N,100
SEAT,Vivid Seats Inc. - Class A common stock,stock,Common Stock,Nasdaq Global Select Market,N,100
SEATW,Vivid Seats Inc. - Warrant,stock,Warrant,Nasdaq Global Select Market,N,100
SEDG,"SolarEdge Technologies, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
SEED,Origin Agritech Limited - Ordinary Shares,stock,Ordinary Share,Nasdaq Capital Market,N,100
SEEM,SEI Select Emerging Markets Equity ETF,etf,ETF,Nasdaq Global Market,N,100
SEER,"Seer, Inc. - Class A Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
SEGG,Sports Entertainment Gaming Global Corporation  - Common Stock,stock,Common Stock,Nasdaq Global Market,E,100
SEIC,SEI Investments Company - Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
SEIE,SEI Select International Equity ETF,etf,ETF,Nasdaq Global Market,N,100
SEIS,SEI Select Small Cap ETF,etf,ETF,Nasdaq Global Market,N,100
SELF,"Global Self Storage, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
SEMY,GraniteShares YieldBOOST Semiconductor ETF,etf,ETF,Nasdaq Global Market,N,100
SENEA,Seneca Foods Corp. - Class A Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
SENEB,Seneca Foods Corp. - Class B Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
SENS,"Senseonics Holdings, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
SEPN,"Septerna, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Market,N,100
SERA,"Sera Prognostics, Inc. - Class A Common Stock",stock,Common Stock,Nasdaq Global Market,N,100
SERV,Serve Robotics Inc. - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
SETM,Sprott Critical Materials ETF,etf,ETF,Nasdaq Global Market,N,100
SEUS,SEI QiM U.S. Equity Factor Allocation Active ETF,etf,ETF,Nasdaq Global Market,N,100
SEV,Aptera Motors Corp. - Class B Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
SEVN,Seven Hills Realty Trust  - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
SEZL,Sezzle Inc. - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
SFBC,"Sound Financial Bancorp, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
SFD,"Smithfield Foods, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
SFHG,Samfine Creation Holdings Group Limited - Class A Ordinary Share,stock,Ordinary Share,Nasdaq Capital Market,N,100
